School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Accountability Information,Accountability Percentile (1-99)
Somerville: Arthur D Healey,02740075,Public School,Somerville,MA,02145,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,      24,      41,      46,      56,      54,      49,      49,      45,      46,      47,       0,       0,       0,       0,       0,     457,     250,  54.7,     136,  29.8,     104,  22.8,     365,  79.9, , ,15.8,4.4,48.6,27.4,0.2,0.2,3.5,51.0,48.8,0.2,     178,16.9,        508,41.8,100.0,  10.9 to 1,91.4,97.1,95.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          83,30.0,          11,4.0,          72,26.0,         111,41.0,          80,29.0,         274,100.0,486.0,55.0,         216,22.0,          54,20.0,           7,3.0,          47,17.0,         117,43.0,         101,37.0,         272,99.0,481.0,53.0,         214,16.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",28.0
Somerville: Benjamin G Brown,02740015,Public School,Somerville,MA,02144,"K,01,02,03,04,05",Somerville,02740000,Public School District,       0,      31,      33,      39,      31,      18,      29,       0,       0,       0,       0,       0,       0,       0,       0,     181,      42,  23.2,      10,   5.5,      17,   9.4,      56,  30.9, , ,6.1,12.7,7.7,59.1,0.0,0.0,14.4,38.7,61.3,0.0,      59,16.7,        189,12.5,100.0,  14.5 to 1,88.0,100.0,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          63,81.0,          15,19.0,          48,62.0,          15,19.0,           0,0.0,          78,100.0,515.0,65.0,          46,99.0,          61,79.0,          13,17.0,          48,62.0,          13,17.0,           3,4.0,          77,99.0,515.0,70.0,          45,97.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",99.0
Somerville: Capuano Early Childhood Center,02740005,Public School,Somerville,MA,02145,"PK,K,01",Somerville,02740000,Public School District,     141,      54,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     195,      95,  48.7,      17,   8.7,      46,  23.6,      97,  49.7, , ,10.3,7.7,29.2,42.6,0.0,0.0,10.3,52.3,47.7,0.0,      41,10.6,        225,22.2,100.0,   8.8 to 1,77.5,93.2,96.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Somerville: E Somerville Community,02740111,Public School,Somerville,MA,02145,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,       0,      60,      77,      77,      89,      82,      78,      84,      72,      78,       0,       0,       0,       0,       0,     697,     507,  72.7,     271,  38.9,     105,  15.1,     528,  75.8, , ,4.4,3.7,68.1,21.1,0.0,0.1,2.4,55.8,43.9,0.3,     230,19.0,        692,52.0,98.1,  13.4 to 1,85.0,94.2,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         147,32.0,          21,5.0,         126,27.0,         194,42.0,         123,27.0,         464,100.0,487.0,49.0,         365,25.0,          96,21.0,           5,1.0,          91,20.0,         215,46.0,         152,33.0,         463,100.0,481.0,43.0,         364,16.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",29.0
Somerville: Full Circle High School,02740510,Public School,Somerville,MA,02143,"09,10,11,12",Somerville,02740000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      12,      13,      15,      12,       0,      52,      23,  44.2,       6,  11.5,      36,  69.2,      52, 100.0, , ,19.2,0.0,46.2,30.8,0.0,0.0,3.8,65.4,34.6,0.0,     153,8.6,         68,9.7,100.0,   5.4 to 1,100.0,100.0,52.6,14.0,57.1,7.1,0.0,0.0,35.7,0.0,      52,7.0,13.5,11.0,11.0,100.0,,,,,,,,,,,,,,,,,,          30,           0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Somerville: John F Kennedy,02740083,Public School,Somerville,MA,02144,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,      17,      34,      37,      49,      46,      39,      42,      61,      65,      46,       0,       0,       0,       0,       0,     436,      76,  17.4,      18,   4.1,      97,  22.2,     174,  39.9, , ,4.6,5.3,14.7,69.0,0.2,0.0,6.2,53.4,46.3,0.2,     164,17.4,        446,33.9,100.0,  12.9 to 1,78.7,98.5,94.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         201,69.0,          73,25.0,         128,44.0,          57,19.0,          35,12.0,         293,100.0,511.0,59.0,         231,95.0,         185,63.0,          46,16.0,         139,47.0,          74,25.0,          34,12.0,         293,100.0,507.0,69.0,         225,87.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",92.0
Somerville: Next Wave Junior High,02740410,Public School,Somerville,MA,02143,"06,07,08",Somerville,02740000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       9,       9,       0,       0,       0,       0,       0,      18,       5,  27.8,       1,   5.6,      15,  83.3,      16,  88.9, , ,27.8,0.0,55.6,11.1,0.0,0.0,5.6,77.8,22.2,0.0,      67,6.3,         28,2.9,100.0,   6.2 to 1,100.0,100.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1,7.0,           0,0.0,           1,7.0,           1,7.0,          12,86.0,          14,100.0,461.0,,          13,1.0,           0,0.0,           0,0.0,           0,0.0,           3,23.0,          10,77.0,          13,96.0,459.0,,          12,1.0,Insufficient data,
Somerville: Somerville High,02740505,Public School,Somerville,MA,02143,"09,10,11,12",Somerville,02740000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     381,     324,     272,     317,      10,"   1,304",     735,  56.4,     204,  15.6,     230,  17.6,     881,  67.6, , ,10.9,5.8,47.3,33.5,0.2,0.2,2.1,51.3,48.3,0.4,     733,13.9,"      1,360",119.8,96.8,  10.9 to 1,80.4,90.4,93.6,321.0,89.7,5.0,0.0,0.0,5.3,0.0,"   1,294",30.0,2.3,293.0,198.0,67.6,     286,     537,147.0,75.0,29.0,22.0,13.0,113.0,122.0,124.0,119.0,      59,43.8,56.2,155.0,571.0,558.0,         595,         329,55.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low participation rate,31.0
Somerville: West Somerville Neighborhood,02740115,Public School,Somerville,MA,02144,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,      18,      40,      37,      46,      43,      30,      32,      45,      42,      38,       0,       0,       0,       0,       0,     371,      94,  25.3,      21,   5.7,      64,  17.3,     183,  49.3, , ,11.3,5.7,11.6,59.8,0.0,0.5,11.1,50.9,48.8,0.3,     118,19.4,        360,27.6,96.4,  13.5 to 1,83.7,100.0,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         110,51.0,          22,10.0,          88,41.0,          77,36.0,          28,13.0,         215,97.0,499.0,55.0,         159,68.0,          95,44.0,          19,9.0,          76,35.0,          83,38.0,          39,18.0,         217,99.0,495.0,67.0,         158,54.0,Low participation rate,61.0
Somerville: Winter Hill Community,02740120,Public School,Somerville,MA,02143,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,      18,      24,      50,      50,      34,      26,      41,      59,      63,      53,       0,       0,       0,       0,       0,     418,     242,  57.9,     149,  35.6,     109,  26.1,     333,  79.7, , ,11.5,4.8,51.2,30.6,0.0,0.2,1.7,56.9,42.8,0.2,     198,15.1,        439,41.5,97.6,  10.1 to 1,80.0,94.5,93.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          44,20.0,           1,0.0,          43,19.0,          96,43.0,          84,38.0,         224,98.0,480.0,43.0,         177,10.0,          29,13.0,           0,0.0,          29,13.0,         119,53.0,          78,35.0,         226,99.0,479.0,44.0,         179,13.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",15.0
South Hadley: Michael E. Smith Middle School,02780305,Public School,South Hadley,MA,01075,"05,06,07,08",South Hadley,02780000,Public School District,       0,       0,       0,       0,       0,       0,     150,     130,     133,     123,       0,       0,       0,       0,       0,     536,      42,   7.8,      18,   3.4,     102,  19.0,     257,  47.9, , ,1.7,1.7,18.1,76.9,0.2,0.0,1.5,51.9,48.1,0.0,     270,19.8,        543,41.6,100.0,  12.9 to 1,95.2,92.8,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         170,33.0,          15,3.0,         155,30.0,         255,50.0,          86,17.0,         511,98.0,492.0,46.0,         445,38.0,         152,30.0,           8,2.0,         144,28.0,         262,51.0,          96,19.0,         510,98.0,489.0,44.0,         447,37.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",25.0
South Hadley: Mosier,02780020,Public School,South Hadley,MA,01075,"02,03,04",South Hadley,02780000,Public School District,       0,       0,       0,     111,     147,     131,       0,       0,       0,       0,       0,       0,       0,       0,       0,     389,      42,  10.8,      25,   6.4,      59,  15.2,     187,  48.1, , ,1.5,1.8,18.8,74.8,0.0,0.0,3.1,48.3,51.7,0.0,      90,19.3,        383,29.0,100.0,  13.4 to 1,93.1,96.6,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          95,36.0,           8,3.0,          87,33.0,         128,48.0,          41,16.0,         264,98.0,493.0,50.0,         116,41.0,          76,29.0,           7,3.0,          69,26.0,         127,49.0,          58,22.0,         261,97.0,488.0,44.0,         114,33.0,Low participation rate,40.0
South Hadley: Plains Elementary,02780015,Public School,South Hadley,MA,01075,"PK,K,01",South Hadley,02780000,Public School District,      62,     128,      96,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     286,      17,   5.9,      14,   4.9,      42,  14.7,     133,  46.5, , ,0.7,1.4,16.4,76.9,0.3,0.0,4.2,54.2,45.8,0.0,      60,14.4,        311,24.3,100.0,  11.8 to 1,89.7,95.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
South Hadley: South Hadley High,02780505,Public School,South Hadley,MA,01075,"09,10,11,12",South Hadley,02780000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     142,     131,     134,     138,       7,     552,      39,   7.1,      21,   3.8,      94,  17.0,     247,  44.7, , ,1.8,2.2,14.9,78.8,0.0,0.0,2.4,47.5,52.4,0.2,     291,13.5,        553,54.0,98.1,  10.2 to 1,90.0,90.4,88.3,141.0,97.9,0.0,0.0,0.7,1.4,0.0,     545,4.0,0.7,141.0,101.0,71.6,      89,     141,52.0,26.0,7.0,4.0,0.0,10.0,26.0,56.0,30.0,      19,25.5,74.5,93.0,558.0,552.0,         272,         136,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low participation rate,37.0
South Middlesex Regional Vocational Technical: Joseph P Keefe Technical High School,08290605,Public School,Framingham,MA,01702,"09,10,11,12",South Middlesex Regional Vocational Technical,08290000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     232,     222,     201,     195,       0,     850,     326,  38.4,     140,  16.5,     321,  37.8,     685,  80.6, , ,4.7,1.6,41.4,47.1,2.1,0.0,3.1,57.2,42.1,0.7,     735,12.1,        828,87.8,100.0,   9.7 to 1,76.4,79.8,98.9,199.0,89.4,4.5,2.0,0.5,3.5,0.0,     850,18.0,2.1,181.0,168.0,92.8,      49,      86,22.0,18.0,8.0,1.0,0.0,27.0,27.0,21.0,9.0,       2,62.8,37.2,41.0,533.0,509.0,         380,         168,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",28.0
South Shore Charter Public (District): South Shore Charter Public School,04880550,Charter School,Norwell,MA,02061,"K,01,02,03,04,05,06,07,08,09,10,11,12",South Shore Charter Public (District),04880000,Charter District,       0,      74,      74,      80,      85,      85,      76,      80,      80,      82,      96,      80,      90,      68,       0,"   1,050",     456,  43.4,     112,  10.7,     211,  20.1,     627,  59.7, , ,35.9,7.0,6.9,43.9,0.4,0.0,5.9,50.4,49.2,0.4,     496,17.2,"      1,037",95.5,84.1,  11.0 to 1,78.0,82.0,78.5,65.0,92.3,3.1,0.0,1.5,3.1,0.0,     334,3.0,0.9,64.0,50.0,78.1,      81,     111,55.0,22.0,4.0,0.0,0.0,26.0,38.0,25.0,13.0,       9,57.7,42.3,92.0,518.0,486.0,         149,         106,71.1,         206,44.0,          25,5.0,         181,39.0,         209,45.0,          50,11.0,         465,96.0,497.0,53.0,         367,58.0,         146,31.0,           8,2.0,         138,29.0,         262,55.0,          66,14.0,         474,98.0,490.0,46.0,         371,39.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",76.0
South Shore Regional Vocational Technical: South Shore Vocational Technical High,08730605,Public School,Hanover,MA,02339,"09,10,11,12",South Shore Regional Vocational Technical,08730000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     170,     168,     162,     155,       0,     655,       9,   1.4,       2,   0.3,     181,  27.6,     333,  50.8, , ,2.7,0.8,5.0,89.9,0.3,0.0,1.2,67.2,32.7,0.2,     331,15.5,        646,62.2,96.8,  10.5 to 1,90.4,75.9,89.2,155.0,96.1,1.3,0.0,0.6,1.9,0.0,     655,10.0,1.5,150.0,150.0,100.0,      11,      11,11.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,       0,90.9,9.1,40.0,550.0,529.0,         313,         158,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",67.0
Southampton: William E Norris,02750005,Public School,Southampton,MA,01073,"PK,K,01,02,03,04,05,06",Southampton,02750000,Public School District,      32,      63,      60,      57,      68,      52,      76,      58,       0,       0,       0,       0,       0,       0,       0,     466,      11,   2.4,       9,   1.9,     126,  27.0,     190,  40.8, , ,0.2,1.5,6.2,88.0,0.0,0.0,4.1,53.0,47.0,0.0,     172,17.6,        462,36.4,97.3,  12.8 to 1,91.8,97.3,97.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          94,38.0,           7,3.0,          87,35.0,         131,52.0,          25,10.0,         250,99.0,494.0,46.0,         176,45.0,         108,43.0,           8,3.0,         100,40.0,         121,48.0,          23,9.0,         252,100.0,495.0,58.0,         179,56.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",50.0
Southborough: Albert S. Woodward Memorial School,02760050,Public School,Southborough,MA,01772,"02,03",Southborough,02760000,Public School District,       0,       0,       0,     144,     125,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     269,      52,  19.3,      30,  11.2,      37,  13.8,      79,  29.4, , ,1.9,18.6,4.8,69.5,0.0,0.0,5.2,53.5,46.5,0.0,      67,17.1,        269,20.5,100.0,  13.1 to 1,90.3,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          95,77.0,          27,22.0,          68,55.0,          26,21.0,           2,2.0,         123,99.0,516.0,,,99.0,          97,80.0,          45,37.0,          52,43.0,          21,17.0,           4,3.0,         122,98.0,520.0,,,99.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",
Southborough: Margaret A Neary,02760020,Public School,Southborough,MA,01772,"04,05",Southborough,02760000,Public School District,       0,       0,       0,       0,       0,     137,     123,       0,       0,       0,       0,       0,       0,       0,       0,     260,      42,  16.2,      20,   7.7,      32,  12.3,      77,  29.6, , ,0.4,17.7,3.8,70.8,0.4,0.0,6.9,51.5,48.1,0.4,      88,19.7,        260,22.0,95.5,  11.8 to 1,90.9,100.0,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         189,74.0,          22,9.0,         167,65.0,          65,25.0,           2,1.0,         256,99.0,509.0,53.0,         245,93.0,         216,84.0,          56,22.0,         160,63.0,          35,14.0,           5,2.0,         256,99.0,517.0,60.0,         245,98.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",92.0
Southborough: Mary E Finn School,02760008,Public School,Southborough,MA,01772,"PK,K,01",Southborough,02760000,Public School District,     104,     117,     114,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     335,     115,  34.3,      34,  10.1,      54,  16.1,     108,  32.2, , ,2.1,28.7,7.2,59.4,0.3,0.3,2.1,49.0,51.0,0.0,      84,15.2,        342,25.6,100.0,  13.1 to 1,92.2,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,
Southborough: P Brent Trottier,02760305,Public School,Southborough,MA,01772,"06,07,08",Southborough,02760000,Public School District,       0,       0,       0,       0,       0,       0,       0,     128,     127,     128,       0,       0,       0,       0,       0,     383,      49,  12.8,       9,   2.3,      65,  17.0,     100,  26.1, , ,1.8,21.4,5.5,66.3,0.0,0.0,5.0,50.1,49.9,0.0,     275,14.1,        383,39.4,100.0,   9.7 to 1,87.0,92.4,90.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         232,63.0,          41,11.0,         191,51.0,         118,32.0,          21,6.0,         371,99.0,507.0,47.0,         356,90.0,         266,71.0,          95,25.0,         171,46.0,          98,26.0,          10,3.0,         374,100.0,514.0,52.0,         358,97.0,"Due to the COVID-19 pandemic, most districts and schools did not receive an accountability determination in 2022",89.0
Southbridge: Charlton Street,02770005,Public School,Southbridge,MA,01550,"PK,K,01,02,03,04,05",Southbridge,02770000,Public School District,       0,       1,       0,      72,      56,      76,      77,       0,       0,       0,       0,       0,       0,       0,       0,     282,      91,  32.3,      36,  12.8,      64,  22.7,     261,  92.6, , ,2.1,1.8,59.2,35.1,0.4,0.7,0.7,47.9,52.1,0.0,      90,16.2,        296,25.0,100.0,  11.3 to 1,64.0,76.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          26,13.0,           0,0.0,          26,13.0,         106,54.0,          63,32.0,         195,100.0,480.0,37.0,         132,9.0,          17,9.0,           0,0.0,          17,9.0,          80,42.0,          94,49.0,         191,100.0,472.0,36.0,         129,5.0,Low student group performance,3.0
