School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Amesbury: Amesbury Innovation High School,00070515,Public School,Amesbury,MA,01913,"09,10,11,12",Amesbury,00070000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $10,916,809","  $54,914",    198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Amesbury Middle,00070013,Public School,Amesbury,MA,01913,"05,06,07,08",Amesbury,00070000,Public School District,,,,,,,     193,     175,     178,     205,,,,,0.0,     751,       9,1.2,       1,0.1,     113,15.0,     119,  15.8, , , , ,1.6,0.7,1.6,93.7,0.4,0.1,1.9,53.0,47.0,58.9,93.4,49.0,99.6,12.8,"     $10,916,809","  $54,914",    198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amesbury: Charles C Cashman Elementary,00070010,Public School,Amesbury,MA,01913,"PK,K,01,02,03,04",Amesbury,00070000,Public School District,      31,     104,     102,     106,      94,      93,,,,,,,,,0.0,     530,      18,3.4,       0,0.0,     103,19.4,      95,  17.9, , , , ,1.7,0.6,4.7,91.3,0.2,0.0,1.5,55.3,44.7,38.1,100.0,29.0,100.0,13.9,"     $10,916,809","  $54,914",    198.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Crocker Farm Elementary,00080009,Public School,Amherst,MA,01002,"PK,K,01,02,03,04,05,06",Amherst,00080000,Public School District,      64,      52,      42,      50,      36,      38,      42,      41,,,,,,,0.0,     365,      85,23.3,      55,15.1,      84,23.0,     162,  44.4, , , , ,9.3,6.0,32.6,48.2,0.5,0.0,3.3,55.3,44.7,38.9,100.0,37.0,100.0,9.4,"      $8,231,869","  $57,930",    142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Fort River Elementary,00080020,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,,      53,      57,      64,      69,      69,      59,      97,,,,,,,0.0,     468,      82,17.5,      46,9.8,      76,16.2,     113,  24.1, , , , ,6.6,14.5,12.0,57.3,0.0,0.0,9.6,49.1,50.9,37.4,96.5,35.0,96.3,12.5,"      $8,231,869","  $57,930",    142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst: Wildwood Elementary,00080050,Public School,Amherst,MA,01002,"K,01,02,03,04,05,06",Amherst,00080000,Public School District,,      64,      54,      57,      64,      55,      74,      66,,,,,,,0.0,     434,      68,15.7,      38,8.8,      68,15.7,      64,  14.7, , , , ,4.4,13.8,10.4,58.1,0.0,0.0,13.4,52.8,47.2,38.5,100.0,36.0,100.0,11.3,"      $8,231,869","  $57,930",    142.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst-Pelham: Amherst Regional High,06050505,Public School,Amherst,MA,01002,"09,10,11,12",Amherst-Pelham,06050000,Public School District,,,,,,,,,,,     307,     320,     328,     349,0.0,"   1,304",     164,12.6,      29,2.2,     226,17.3,     196,  15.0, , , , ,7.7,10.4,8.8,68.5,0.4,0.0,4.2,48.6,51.4,99.8,99.0,85.0,98.8,13.1,"      $9,410,790","  $56,386",    166.9,       347,87.6,6.1,0.0,2.0,4.3,0.0,321.0,255.0,79.4,0.0,36.4446,16.8328,26.122600000000002,15.562400000000002,0.9528,14.6096,62.5672,124.0,     190,76.0,37.0,5.0,5.0,1.0,7.0,14.0,44.0,41.0,84.0,11.1,88.9,262.0,574.0,583.0
Amherst-Pelham: Amherst Regional Middle School,06050405,Public School,Amherst,MA,01002,"07,08",Amherst-Pelham,06050000,Public School District,,,,,,,,,     272,     281,,,,,0.0,     553,      68,12.3,      27,4.9,     102,18.4,     115,  20.8, , , , ,9.8,7.6,10.5,66.7,0.4,0.0,5.1,49.5,50.5,53.5,94.4,48.0,93.7,10.3,"      $9,410,790","  $56,386",    166.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover: Andover High,00090505,Public School,Andover,MA,01810,"09,10,11,12",Andover,00090000,Public School District,,,,,,,,,,,     452,     410,     456,     427,1.0,"   1,746",     141,8.1,       5,0.3,     230,13.2,      62,   3.6, , , , ,1.5,8.4,2.5,86.3,0.1,0.1,1.1,50.6,49.4,134.3,96.3,113.0,97.0,13.0,"     $29,730,175","  $64,431",    461.4,       451,96.2,0.9,0.2,1.3,1.3,0.0,436.0,380.0,87.2,0.2616,47.96,8.283999999999999,30.781599999999997,7.3248,4.6216,11.684800000000001,78.7416,311.0,     537,157.0,109.0,31.0,7.0,7.0,10.0,50.0,137.0,152.0,188.0,11.2,88.8,422.0,557.0,574.0
Andover: Andover West Middle,00090310,Public School,Andover,MA,01810,"06,07,08",Andover,00090000,Public School District,,,,,,,,     168,     169,     171,,,,,0.0,     508,      30,5.9,       0,0.0,      78,15.4,      18,   3.5, , , , ,1.2,8.7,3.1,84.1,0.0,0.0,3.0,51.4,48.6,39.2,97.5,30.0,96.8,13.0,"     $29,730,175","  $64,431",    461.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
