School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Salem: Salem Prep High School,02580515,Public School,Salem,MA,01970,"08,09,10,11,12",Salem,02580000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $23,109,417","  $49,602",    465.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Saltonstall School,02580050,Public School,Salem,MA,01970,"K,01,02,03,04,05,06,07,08",Salem,02580000,Public School District,,      44,      43,      48,      48,      39,      39,,,,,,,,0.0,     261,      51,19.5,      45,17.2,      31,11.9,      79,  30.3, , , , ,4.6,1.1,23.4,68.2,0.8,0.0,1.9,51.0,49.0,26.2,100.0,22.0,100.0,10.0,"     $23,109,417","  $49,602",    465.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem: Witchcraft Heights,02580070,Public School,Salem,MA,01970,"K,01,02,03,04,05",Salem,02580000,Public School District,,      71,      70,      59,      75,      70,      60,,,,,,,,0.0,     405,      88,21.7,      56,13.8,      68,16.8,     154,  38.0, , , , ,3.7,7.2,20.2,64.2,0.5,0.0,4.2,49.1,50.9,41.7,100.0,34.0,100.0,9.7,"     $23,109,417","  $49,602",    465.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem Academy Charter (District): Salem Academy Charter School,04850485,Charter School,Salem,MA,01970,"06,07,08,09,10,11,12",Salem Academy Charter (District),04850000,Charter District,,,,,,,,      68,      39,      58,      28,      10,,,0.0,     203,      24,11.8,       9,4.4,      42,20.7,      76,  37.4, , , , ,6.4,3.0,25.6,62.6,0.5,0.0,2.0,46.8,53.2,16.2,60.5,16.0,78.1,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich: Forestdale School,02610002,Public School,Sandwich,MA,02644,"PK,K,01,02",Sandwich,02610000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,082,159","  $55,354",    254.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich: Oak Ridge,02610025,Public School,East Sandwich,MA,02537,"03,04,05,06",Sandwich,02610000,Public School District,,      79,     105,      99,     100,     114,     124,     117,     117,     122,,,,,0.0,     977,       0,0.0,       0,0.0,      96,9.8,      64,   6.6, , , , ,0.5,1.6,0.2,97.5,0.1,0.0,0.0,48.9,51.1,57.0,100.0,44.0,100.0,17.1,"     $14,082,159","  $55,354",    254.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich: Sandwich Middle High School,02610505,Public School,East Sandwich,MA,02537,"07,08,09,10,11,12",Sandwich,02610000,Public School District,,,,,,,,,,,     257,     284,     245,     305,0.0,"   1,091",       2,0.2,       2,0.2,     158,14.5,      88,   8.1, , , , ,0.5,0.9,0.6,97.7,0.2,0.0,0.0,51.9,48.1,72.9,100.0,60.0,100.0,15.0,"     $14,082,159","  $55,354",    254.4,       309,96.4,0.6,0.0,0.3,2.6,0.0,299.0,253.0,84.6,0.0,31.725,22.757399999999997,30.117599999999996,22.418999999999997,9.3906,9.0522,61.8426,143.0,     213,84.0,50.0,7.0,2.0,0.0,12.0,19.0,70.0,62.0,50.0,14.6,85.4,264.0,532.0,537.0
Saugus: Belmonte STEAM Academy,02620060,Public School,Saugus,MA,01906,"02,03,04,05",Saugus,02620000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $12,127,913","  $52,434",    231.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saugus: Saugus High,02620505,Public School,Saugus,MA,01906,"09,10,11,12",Saugus,02620000,Public School District,      18,,,,,,,,,,     214,     238,     196,     176,4.0,     846,      60,7.1,       1,0.1,     111,13.1,      93,  11.0, , , , ,2.2,3.1,4.7,89.6,0.2,0.0,0.1,48.7,51.3,59.8,94.3,50.0,94.0,14.1,"     $12,127,913","  $52,434",    231.3,       210,74.8,7.6,1.0,2.9,13.3,0.5,162.0,129.0,79.6,0.0,22.208399999999997,23.482,33.9096,23.482,23.482,9.8704,56.117999999999995,52.0,      89,32.0,11.0,4.0,2.0,3.0,26.0,17.0,18.0,22.0,6.0,48.3,51.7,147.0,483.0,501.0
Saugus: Saugus Middle School,02620305,Public School,Saugus,MA,01906,"06,07,08",Saugus,02620000,Public School District,,,,,,,,     250,     275,     281,,,,,0.0,     806,      47,5.8,       5,0.6,     109,13.5,     140,  17.4, , , , ,2.5,3.6,4.6,87.2,0.1,0.0,2.0,51.0,49.0,58.3,94.3,48.0,91.7,13.8,"     $12,127,913","  $52,434",    231.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saugus: Veterans Early Learning Center,02620065,Public School,Saugus,MA,01906,"PK,K,01",Saugus,02620000,Public School District,      37,      80,     117,     102,      90,     101,     119,,,,,,,,0.0,     646,      37,5.7,       9,1.4,     138,21.4,      94,  14.6, , , , ,2.5,2.8,5.0,88.5,0.0,0.8,0.5,52.9,47.1,46.6,97.9,44.0,97.7,13.9,"     $12,127,913","  $52,434",    231.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savoy: Emma L Miller Elementary School,02630010,Public School,Savoy,MA,01256,"PK,K,01,02,03,04,05,06",Savoy,02630000,Public School District,      19,       2,      14,       6,       7,      12,       1,,,,,,,,1.0,      62,       0,0.0,       0,0.0,       3,4.8,       2,   3.2, , , , ,0.0,1.6,6.5,80.6,0.0,3.2,8.1,37.1,62.9,6.4,100.0,6.0,100.0,9.7,"        $244,653","  $46,161",      5.3,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Cushing Elementary,02640007,Public School,Scituate,MA,02066,"K,01,02,03,04,05",Scituate,02640000,Public School District,,      54,      57,      76,      61,      60,      55,      59,,,,,,,0.0,     422,       5,1.2,       2,0.5,      45,10.7,      22,   5.2, , , , ,2.1,0.5,1.2,95.7,0.0,0.0,0.5,54.5,45.5,29.0,100.0,26.0,100.0,14.6,"     $13,904,855","  $59,935",    232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Gates Middle School,02640305,Public School,Scituate,MA,02066,"06,07,08",Scituate,02640000,Public School District,,,,,,,,,     249,     231,,,,,0.0,     480,      11,2.3,      11,2.3,      63,13.1,      40,   8.3, , , , ,3.1,0.6,0.4,95.0,0.0,0.2,0.6,48.1,51.9,37.8,100.0,33.0,97.6,12.7,"     $13,904,855","  $59,935",    232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Hatherly Elementary,02640010,Public School,Scituate,MA,02066,"K,01,02,03,04,05",Scituate,02640000,Public School District,,      36,      44,      61,      55,      61,      44,      51,,,,,,,0.0,     352,       3,0.9,       2,0.6,      38,10.8,      19,   5.4, , , , ,2.6,0.9,0.3,95.2,0.0,0.6,0.6,51.1,48.9,27.6,100.0,25.0,96.0,12.8,"     $13,904,855","  $59,935",    232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Jenkins Elementary School,02640015,Public School,Scituate,MA,02066,"K,01,02,03,04,05",Scituate,02640000,Public School District,,      79,      85,      81,      78,      95,      60,      96,,,,,,,0.0,     574,       8,1.4,       7,1.2,      59,10.3,      53,   9.2, , , , ,1.4,0.3,0.7,94.6,0.2,0.0,2.8,47.7,52.3,38.9,100.0,36.0,100.0,14.8,"     $13,904,855","  $59,935",    232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scituate: Scituate High School,02640505,Public School,Scituate,MA,02066,"09,10,11,12",Scituate,02640000,Public School District,      74,      15,,,,,,,,,     209,     204,     256,     195,7.0,     960,      18,1.9,       9,0.9,     131,13.6,      32,   3.3, , , , ,3.2,0.4,0.5,95.3,0.0,0.3,0.2,50.1,49.9,55.3,100.0,50.0,100.0,17.4,"     $13,904,855","  $59,935",    232.0,       198,90.4,6.6,0.0,0.5,2.5,0.0,181.0,155.0,85.6,0.0,40.831199999999995,7.1903999999999995,37.578399999999995,6.5912,7.1903999999999995,13.781600000000001,78.40959999999998,87.0,     135,54.0,21.0,9.0,3.0,0.0,8.0,23.0,53.0,36.0,15.0,23.0,77.0,182.0,518.0,535.0
Scituate: Wampatuck Elementary,02640020,Public School,Scituate,MA,02066,"PK,K,01,02,03,04,05",Scituate,02640000,Public School District,,      66,      65,      72,      57,      67,      62,      47,,,,,,,0.0,     436,       8,1.8,       6,1.4,      47,10.8,       7,   1.6, , , , ,1.6,0.9,0.0,97.5,0.0,0.0,0.0,50.7,49.3,31.0,96.8,29.0,96.5,14.1,"     $13,904,855","  $59,935",    232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seekonk: Dr. Kevin M. Hurley Middle School,02650405,Public School,Seekonk,MA,02771,"06,07,08",Seekonk,02650000,Public School District,,,,,,,,     182,     192,     177,,,,,0.0,     551,       4,0.7,       1,0.2,      59,10.7,      61,  11.1, , , , ,0.9,1.1,2.0,94.4,0.4,0.0,1.3,51.2,48.8,36.5,94.5,29.0,93.1,15.1,"      $8,011,529","  $61,779",    129.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seekonk: George R Martin,02650007,Public School,Seekonk,MA,02771,"K,01,02,03,04,05",Seekonk,02650000,Public School District,      34,      62,      72,      77,      88,      89,      79,,,,,,,,0.0,     501,       8,1.6,       4,0.8,      42,8.4,      48,   9.6, , , , ,1.0,2.6,2.4,92.6,0.0,0.0,1.4,50.3,49.7,28.5,96.5,25.0,96.0,17.6,"      $8,011,529","  $61,779",    129.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seekonk: Mildred Aitken School,02650015,Public School,Seekonk,MA,02771,"PK,K,01,02,03,04,05",Seekonk,02650000,Public School District,,      62,      67,      73,      71,      86,     114,,,,,,,,0.0,     473,       6,1.3,       1,0.2,      45,9.5,      34,   7.2, , , , ,0.4,1.5,1.3,96.4,0.0,0.0,0.4,51.0,49.0,25.2,96.0,24.0,95.8,18.8,"      $8,011,529","  $61,779",    129.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seekonk: Seekonk High,02650505,Public School,Seekonk,MA,02771,"09,10,11,12",Seekonk,02650000,Public School District,,,,,,,,,,,     175,     157,     190,     196,0.0,     718,       6,0.8,       3,0.4,      65,9.1,      65,   9.1, , , , ,1.8,1.3,1.1,92.9,0.8,0.1,1.9,51.3,48.7,44.9,99.1,38.0,99.0,16.0,"      $8,011,529","  $61,779",    129.7,       199,91.0,3.0,0.0,0.0,6.0,0.0,182.0,154.0,84.6,0.0,25.295399999999994,19.2042,40.10039999999999,17.0046,7.1064,18.1044,65.39579999999998,77.0,     112,46.0,27.0,4.0,0.0,0.0,16.0,31.0,37.0,16.0,12.0,42.0,58.0,161.0,484.0,490.0
Seekonk: Seekonk Transitions Academy,02650605,Public School,Seekonk,MA,02771,,Seekonk,02650000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,011,529","  $61,779",    129.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon: Cottage Street,02660005,Public School,Sharon,MA,02067,"K,01,02,03,04,05",Sharon,02660000,Public School District,,      66,      78,      65,      91,      67,      94,,,,,,,,0.0,     461,      52,11.3,       7,1.5,      39,8.5,      38,   8.2, , , , ,7.4,11.5,4.8,73.8,0.0,0.0,2.6,48.8,51.2,30.4,100.0,27.0,100.0,15.2,"     $14,563,115","  $58,910",    247.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon: East Elementary,02660010,Public School,Sharon,MA,02067,"K,01,02,03,04,05",Sharon,02660000,Public School District,      59,      66,      70,      72,      80,      73,      71,,,,,,,,0.0,     491,      43,8.8,       2,0.4,      75,15.3,       9,   1.8, , , , ,2.4,10.6,2.0,80.9,0.0,0.0,4.1,50.3,49.7,37.0,100.0,30.0,100.0,13.3,"     $14,563,115","  $58,910",    247.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon: Heights Elementary,02660015,Public School,Sharon,MA,02067,"K,01,02,03,04,05",Sharon,02660000,Public School District,,      81,      73,      92,     111,      99,     109,,,,,,,,0.0,     565,      53,9.4,      10,1.8,      70,12.4,       8,   1.4, , , , ,6.2,13.1,1.8,76.6,0.2,0.0,2.1,53.8,46.2,38.7,100.0,33.0,100.0,14.6,"     $14,563,115","  $58,910",    247.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon: Sharon Early Childhood Center,02660001,Public School,Sharon,MA,02067,PK,Sharon,02660000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $14,563,115","  $58,910",    247.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon: Sharon High,02660505,Public School,Sharon,MA,02067,"09,10,11,12",Sharon,02660000,Public School District,,,,,,,,,,,     281,     253,     287,     282,0.0,"   1,103",     108,9.8,       7,0.6,     104,9.4,      28,   2.5, , , , ,5.1,8.2,2.7,82.5,0.0,0.0,1.5,49.3,50.7,85.5,99.4,77.0,98.1,12.9,"     $14,563,115","  $58,910",    247.2,       281,96.8,1.8,0.0,0.4,1.1,0.0,276.0,241.0,87.3,0.6984,50.0229,6.1983,30.4677,4.7142,2.8808999999999996,12.658499999999998,80.4906,241.0,     471,124.0,53.0,38.0,14.0,12.0,4.0,30.0,76.0,144.0,217.0,7.2,92.8,271.0,577.0,585.0
Sharon: Sharon Middle,02660305,Public School,Sharon,MA,02067,"06,07,08",Sharon,02660000,Public School District,,,,,,,,     314,     268,     262,,,,,0.0,     844,      91,10.8,       3,0.4,     104,12.3,      32,   3.8, , , , ,4.5,11.5,1.5,81.5,0.0,0.0,0.9,48.9,51.1,61.2,100.0,52.0,100.0,13.8,"     $14,563,115","  $58,910",    247.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawsheen Valley Regional Vocational Technical: Shawsheen Valley Vocational Technical High School,08710605,Public School,Billerica,MA,01821,"09,10,11,12",Shawsheen Valley Regional Vocational Technical,08710000,Public School District,,,,,,,,,,,     325,     305,     313,     303,0.0,"   1,246",       9,0.7,       0,0.0,     397,31.9,     146,  11.7, , , , ,0.3,0.2,2.6,96.1,0.2,0.0,0.6,61.2,38.8,121.4,97.5,47.0,95.8,10.3,"      $8,224,148","  $66,863",    123.0,       304,95.4,1.6,0.3,0.7,2.0,0.0,296.0,134.0,45.3,0.9965999999999999,8.4711,22.967100000000002,12.865199999999998,20.6115,5.7531,6.749700000000001,21.336299999999998,,,,,,,,,,,,,,,124.0,459.0,459.0
Sherborn: Pine Hill,02690010,Public School,Sherborn,MA,01770,"PK,K,01,02,03,04,05",Sherborn,02690000,Public School District,      17,      66,      77,      83,      92,      65,      76,,,,,,,,0.0,     476,       5,1.1,       0,0.0,      59,12.4,       5,   1.1, , , , ,1.3,4.0,0.8,91.8,0.0,0.0,2.1,53.2,46.8,35.5,100.0,33.0,100.0,13.4,"      $2,286,063","  $64,396",     35.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Calvin Coolidge School,02710015,Public School,Shrewsbury,MA,01545,"K,01,02,03,04",Shrewsbury,02710000,Public School District,,,      85,      76,      87,      83,,,,,,,,,0.0,     331,      74,22.4,      25,7.6,      60,18.1,      62,  18.7, , , , ,2.1,18.1,6.6,72.5,0.0,0.0,0.6,53.8,46.2,24.4,100.0,21.0,100.0,13.6,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Floral Street School,02710020,Public School,Shrewsbury,MA,01545,"K,01,02,03,04",Shrewsbury,02710000,Public School District,,,     110,     211,     206,     218,,,,,,,,,0.0,     745,     130,17.4,      42,5.6,      82,11.0,      57,   7.7, , , , ,1.5,20.5,4.6,72.5,0.1,0.0,0.8,50.7,49.3,46.4,93.5,42.0,92.8,16.1,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Major Howard W. Beal School,02710005,Public School,Shrewsbury,MA,01545,"K,01,02,03,04",Shrewsbury,02710000,Public School District,,     325,      87,,,,,,,,,,,,0.0,     412,      73,17.7,      26,6.3,      41,10.0,      30,   7.3, , , , ,1.2,16.5,5.6,74.0,0.0,0.7,1.9,49.8,50.2,19.9,100.0,18.0,100.0,20.7,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Oak Middle School,02710030,Public School,Shrewsbury,MA,01545,"07,08",Shrewsbury,02710000,Public School District,,,,,,,,,     449,     501,,,,,0.0,     950,      90,9.5,      12,1.3,     160,16.8,      94,   9.9, , , , ,3.9,8.4,4.1,82.1,0.1,0.1,1.3,49.7,50.3,60.7,99.2,52.0,98.1,15.7,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Parker Road Preschool,02710040,Public School,Shrewsbury,MA,01545,PK,Shrewsbury,02710000,Public School District,     173,,,,,,,,,,,,,,0.0,     173,      36,20.8,       0,0.0,      55,31.8,      20,  11.6, , , , ,0.0,21.4,8.1,67.6,0.0,0.0,2.9,61.8,38.2,9.8,93.9,7.0,100.0,17.7,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Sherwood Middle School,02710305,Public School,Shrewsbury,MA,01545,"05,06",Shrewsbury,02710000,Public School District,,,,,,,     462,     488,,,,,,,0.0,     950,     105,11.1,      12,1.3,     164,17.3,      95,  10.0, , , , ,1.9,10.8,3.9,82.3,0.2,0.0,0.8,52.0,48.0,61.7,95.1,54.0,91.7,15.4,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Shrewsbury High School,02710505,Public School,Shrewsbury,MA,01545,"09,10,11,12",Shrewsbury,02710000,Public School District,,,,,,,,,,,     408,     436,     389,     345,6.0,"   1,584",     183,11.6,      40,2.5,     218,13.8,     147,   9.3, , , , ,2.5,10.5,5.6,79.8,0.0,0.0,1.6,48.9,51.1,93.8,100.0,79.0,99.5,16.9,"     $20,487,515","  $56,027",    365.7,       344,90.1,3.2,0.0,3.8,2.9,0.0,311.0,278.0,89.4,0.0,37.9056,14.751000000000001,36.654,13.499400000000001,11.532600000000002,14.751000000000001,74.5596,167.0,     339,56.0,65.0,31.0,15.0,0.0,3.0,24.0,54.0,110.0,148.0,8.0,92.0,305.0,526.0,546.0
Shrewsbury: Spring Street School,02710035,Public School,Shrewsbury,MA,01545,"K,01,02,03,04",Shrewsbury,02710000,Public School District,,      53,      77,      80,      80,     109,,,,,,,,,0.0,     399,      11,2.8,       1,0.3,      62,15.5,       9,   2.3, , , , ,0.5,7.8,1.8,88.2,0.0,0.0,1.8,52.4,47.6,25.0,100.0,23.0,100.0,16.0,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrewsbury: Walter J. Paton School,02710025,Public School,Shrewsbury,MA,01545,"K,01,02,03,04",Shrewsbury,02710000,Public School District,,,      81,     100,      79,      96,,,,,,,,,0.0,     356,      20,5.6,      11,3.1,      42,11.8,      25,   7.0, , , , ,0.6,7.0,3.9,86.2,0.3,0.0,2.0,48.0,52.0,21.8,100.0,20.0,100.0,16.3,"     $20,487,515","  $56,027",    365.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shutesbury: Shutesbury Elementary,02720005,Public School,Shutesbury,MA,01072,"PK,K,01,02,03,04,05,06",Shutesbury,02720000,Public School District,      17,      16,      26,      12,      22,      20,      20,      22,,,,,,,0.0,     155,       0,0.0,       0,0.0,      17,11.0,      11,   7.1, , , , ,1.3,1.3,4.5,83.9,1.9,0.0,7.1,47.7,52.3,14.3,92.3,13.0,92.1,10.8,"        $704,376","  $42,976",     16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Lake: Silver Lake Regional High,07600505,Public School,Kingston,MA,02364,"09,10,11,12",Silver Lake,07600000,Public School District,      87,,,,,,,,,,     317,     281,     296,     247,0.0,"   1,228",       0,0.0,       0,0.0,     195,15.9,      94,   7.7, , , , ,1.4,0.5,0.6,97.6,0.0,0.0,0.0,54.2,45.8,97.1,96.9,71.0,98.6,12.6,"      $9,694,523","  $66,219",    146.4,       255,85.1,2.7,0.0,2.7,9.4,0.0,221.0,166.0,75.1,0.0,18.0991,24.8581,32.142799999999994,24.4075,12.691899999999999,13.1425,50.241899999999994,94.0,     164,50.0,24.0,15.0,4.0,1.0,17.0,48.0,46.0,37.0,16.0,39.6,60.4,172.0,491.0,504.0
Silver Lake: Silver Lake Regional Middle School,07600405,Public School,Kingston,MA,02364,"07,08",Silver Lake,07600000,Public School District,,,,,,,,,     300,     302,,,,,0.0,     602,       2,0.3,       2,0.3,      84,14.0,      64,  10.6, , , , ,1.5,0.7,1.2,96.5,0.0,0.2,0.0,52.8,47.2,47.2,97.9,41.0,97.6,12.8,"      $9,694,523","  $66,219",    146.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sizer School: A North Central Charter Essential (District): Sizer School: A North Central Charter Essential School,04740505,Charter School,Fitchburg,MA,01420,"07,08,09,10,11,12",Sizer School: A North Central Charter Essential (District),04740000,Charter District,,,,,,,,,      56,      69,      73,      60,      47,      39,0.0,     344,       8,2.3,       0,0.0,      69,20.1,     108,  31.4, , , , ,3.2,2.6,8.7,85.2,0.3,0.0,0.0,55.5,44.5,37.0,77.3,34.0,86.5,9.3,,,,        42,71.4,16.7,2.4,0.0,4.8,4.8,31.0,19.0,61.3,0.0,6.4365,48.3657,6.4365,45.1781,3.2489,3.2489,12.873,,,,,,,,,,,,,,,21.0,501.0,462.0
Somerset: Chace Street,02730005,Public School,Somerset,MA,02726,"K,01,02,03,04,05",Somerset,02730000,Public School District,      73,      42,      35,      36,      49,      46,      55,,,,,,,,0.0,     336,      14,4.2,       0,0.0,      40,11.9,      50,  14.9, , , , ,0.3,1.8,2.1,94.0,0.0,0.3,1.5,54.8,45.2,22.9,97.4,21.0,97.1,14.7,"     $12,331,738","  $54,182",    227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset: North Elementary,02730008,Public School,Somerset,MA,02726,"PK,K,01,02,03,04,05",Somerset,02730000,Public School District,,      79,      69,      78,      82,      81,      72,,,,,,,,0.0,     461,       5,1.1,       0,0.0,      37,8.0,      45,   9.8, , , , ,1.3,1.1,2.2,95.2,0.0,0.0,0.2,54.2,45.8,38.8,100.0,35.0,100.0,11.9,"     $12,331,738","  $54,182",    227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset: Somerset Middle School,02730305,Public School,Somerset,MA,02726,"06,07,08",Somerset,02730000,Public School District,,,,,,,,     218,     209,     193,,,,,0.0,     620,      20,3.2,       0,0.0,      54,8.7,      54,   8.7, , , , ,1.0,1.3,1.0,94.5,0.0,0.2,2.1,48.9,51.1,46.6,100.0,40.0,100.0,13.3,"     $12,331,738","  $54,182",    227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset: South,02730015,Public School,Somerset,MA,02726,"K,01,02,03,04,05",Somerset,02730000,Public School District,,      45,      37,      48,      34,      36,      45,,,,,,,,0.0,     245,       7,2.9,       0,0.0,      18,7.3,      35,  14.3, , , , ,1.6,1.2,1.6,93.1,0.0,0.0,2.4,48.6,51.4,16.4,100.0,15.0,100.0,15.0,"     $12,331,738","  $54,182",    227.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerset Berkley Regional School District: Somerset Berkley Regional High School,07630505,Public School,Somerset,MA,02726,"09,10,11,12",Somerset Berkley Regional School District,07630000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville: Albert F. Argenziano School at Lincoln Park,02740087,Public School,Somerville,MA,02143,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,,,      60,      60,      30,      40,      31,      33,      33,      24,,,,,0.0,     311,     221,71.1,     146,46.9,      44,14.1,     231,  74.3, , , , ,9.3,11.9,42.1,35.7,0.0,0.0,1.0,47.9,52.1,28.5,96.5,26.0,100.0,10.9,"     $26,252,966","  $62,978",    416.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville: Arthur D Healey,02740075,Public School,Somerville,MA,02145,"PK,K,01,02,03,04,05,06,07,08",Somerville,02740000,Public School District,,      65,      61,      76,      63,      66,      64,      40,      56,      43,,,,,0.0,     534,     237,44.4,      53,9.9,     136,25.5,     318,  59.6, , , , ,24.5,5.8,29.2,39.9,0.4,0.2,0.0,55.8,44.2,37.0,100.0,36.0,98.6,14.4,"     $26,252,966","  $62,978",    416.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville: Benjamin G Brown,02740015,Public School,Somerville,MA,02144,"K,01,02,03,04,05",Somerville,02740000,Public School District,,      41,      39,      41,      24,      21,      36,      19,,,,,,,0.0,     221,      47,21.3,      14,6.3,      29,13.1,      67,  30.3, , , , ,6.3,14.9,8.6,69.7,0.0,0.0,0.5,47.5,52.5,15.6,100.0,15.0,100.0,14.2,"     $26,252,966","  $62,978",    416.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerville: Capuano Early Childhood Center,02740005,Public School,Somerville,MA,02145,"PK,K,01",Somerville,02740000,Public School District,     227,     136,,,,,,,,,,,,,0.0,     363,     179,49.3,      67,18.5,      77,21.2,     199,  54.8, , , , ,9.4,9.9,31.7,47.9,0.0,0.0,1.1,56.7,43.3,25.4,100.0,25.0,100.0,14.3,"     $26,252,966","  $62,978",    416.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
